Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycling_parsed,Cooking_With_parsed
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,None,sometimes,173,never,87,small,2,19,50,8,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",879,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']"
obese,female,pescatarian,less frequently,wood,public,None,often,159,frequently,972,large,6,21,24,19,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",2497,"['Paper', 'Glass']","['Oven', 'Microwave']"
overweight,male,pescatarian,less frequently,coal,private,electric,never,74,very frequently,9208,medium,7,8,42,14,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",3294,"['Paper', 'Plastic']","['Grill', 'Airfryer']"
overweight,male,vegetarian,less frequently,natural gas,private,electric,sometimes,258,never,2237,large,3,0,13,20,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1341,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
normal,male,pescatarian,less frequently,natural gas,private,lpg,never,214,very frequently,4550,extra large,2,0,40,3,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",4028,[],"['Microwave', 'Grill', 'Airfryer']"
obese,female,omnivore,more frequently,coal,private,petrol,never,151,frequently,102,extra large,2,13,18,6,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1995,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
normal,male,vegan,daily,coal,private,electric,sometimes,112,rarely,4866,extra large,1,8,16,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1286,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
underweight,female,pescatarian,less frequently,electricity,public,None,never,256,never,883,extra large,5,17,28,3,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1367,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegetarian,daily,electricity,walk/bicycle,None,sometimes,133,rarely,85,medium,7,14,18,10,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1345,['Metal'],"['Oven', 'Grill', 'Airfryer']"
overweight,male,omnivore,daily,natural gas,private,petrol,often,166,very frequently,9461,small,2,16,48,1,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",6655,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
overweight,male,pescatarian,daily,coal,private,diesel,often,295,frequently,614,large,2,4,47,17,Yes,['Plastic'],"['Grill', 'Airfryer']",3309,['Plastic'],"['Grill', 'Airfryer']"
overweight,female,vegetarian,less frequently,natural gas,public,None,never,110,never,813,small,2,2,10,5,Sometimes,"['Glass', 'Metal']",['Oven'],631,"['Glass', 'Metal']",['Oven']
obese,male,vegetarian,daily,electricity,walk/bicycle,None,sometimes,81,rarely,44,extra large,6,23,36,10,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",2290,"['Plastic', 'Glass']","['Stove', 'Microwave']"
normal,male,vegetarian,less frequently,coal,public,None,sometimes,55,frequently,45,extra large,7,10,44,19,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3034,['Paper'],"['Oven', 'Grill', 'Airfryer']"
obese,male,pescatarian,twice a day,natural gas,public,None,often,295,frequently,663,extra large,6,21,15,13,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3163,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
normal,male,omnivore,more frequently,wood,walk/bicycle,None,often,66,very frequently,73,small,3,23,9,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1901,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,twice a day,wood,private,hybrid,often,89,frequently,9760,large,2,24,27,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",3074,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
obese,female,pescatarian,less frequently,natural gas,public,None,never,137,very frequently,1422,extra large,5,12,36,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",3184,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']"
obese,male,vegan,more frequently,electricity,private,electric,never,268,frequently,868,extra large,3,22,41,1,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2358,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
normal,male,vegan,twice a day,wood,public,None,sometimes,151,frequently,1667,extra large,4,21,44,24,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2821,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,65,rarely,4965,extra large,3,21,12,18,Sometimes,[],"['Stove', 'Oven']",2694,[],"['Stove', 'Oven']"
underweight,male,omnivore,more frequently,coal,private,petrol,sometimes,148,frequently,4888,medium,6,21,1,11,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3564,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,female,omnivore,twice a day,electricity,private,diesel,often,257,rarely,8012,large,7,23,7,15,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",3983,"['Glass', 'Metal']","['Stove', 'Microwave']"
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,None,never,196,rarely,25,large,1,21,3,1,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",812,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,pescatarian,twice a day,wood,walk/bicycle,None,never,120,rarely,4,small,2,8,14,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],817,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven']
normal,female,omnivore,twice a day,natural gas,public,None,often,245,very frequently,1712,medium,1,1,7,7,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2118,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
underweight,male,pescatarian,less frequently,coal,walk/bicycle,None,often,286,frequently,14,small,7,21,32,15,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2382,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,male,pescatarian,daily,wood,private,petrol,often,158,very frequently,4622,large,2,4,47,23,Yes,['Metal'],[],5271,['Metal'],[]
normal,male,pescatarian,more frequently,wood,public,None,often,298,very frequently,283,small,2,0,5,6,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",2523,['Metal'],"['Stove', 'Grill', 'Airfryer']"
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,often,149,very frequently,2464,extra large,3,5,15,9,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2994,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,omnivore,less frequently,natural gas,private,diesel,sometimes,222,frequently,3765,extra large,5,20,32,0,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2801,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,omnivore,twice a day,coal,public,None,never,138,rarely,1561,medium,4,12,45,13,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2155,['Glass'],"['Oven', 'Grill', 'Airfryer']"
overweight,male,omnivore,less frequently,coal,walk/bicycle,None,often,57,rarely,63,small,4,24,12,13,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1700,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,omnivore,twice a day,natural gas,public,None,sometimes,90,very frequently,179,small,2,23,27,1,No,[],"['Grill', 'Airfryer']",2424,[],"['Grill', 'Airfryer']"
obese,female,pescatarian,less frequently,electricity,private,petrol,often,91,very frequently,7354,large,7,5,22,9,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",5672,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
obese,male,vegan,less frequently,electricity,public,None,sometimes,58,very frequently,263,extra large,3,6,25,23,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],2775,"['Paper', 'Glass', 'Metal']",['Stove']
underweight,female,omnivore,more frequently,coal,public,None,never,101,frequently,1379,medium,4,9,15,11,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1625,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
normal,male,vegan,less frequently,coal,private,lpg,never,121,rarely,2795,large,1,3,33,21,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2165,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
obese,female,vegetarian,more frequently,wood,walk/bicycle,None,often,213,very frequently,25,large,3,22,16,2,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2795,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
underweight,male,pescatarian,more frequently,electricity,public,None,sometimes,116,never,793,medium,4,1,17,19,No,"['Paper', 'Glass', 'Metal']",['Microwave'],838,"['Paper', 'Glass', 'Metal']",['Microwave']
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,None,often,186,frequently,58,extra large,2,21,27,0,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2526,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']"
overweight,female,vegetarian,more frequently,coal,public,None,often,121,very frequently,419,small,5,11,12,22,Sometimes,['Plastic'],"['Grill', 'Airfryer']",2727,['Plastic'],"['Grill', 'Airfryer']"
overweight,male,omnivore,twice a day,natural gas,private,petrol,never,197,very frequently,7164,large,3,5,0,0,Sometimes,['Plastic'],"['Oven', 'Microwave']",5733,['Plastic'],"['Oven', 'Microwave']"
normal,male,pescatarian,less frequently,wood,private,petrol,often,80,rarely,3566,large,2,5,46,6,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3229,[],"['Stove', 'Oven', 'Microwave']"
underweight,female,vegan,less frequently,wood,walk/bicycle,None,never,84,frequently,95,extra large,2,12,41,11,No,"['Plastic', 'Glass']",[],1625,"['Plastic', 'Glass']",[]
underweight,male,vegan,less frequently,coal,private,lpg,never,203,rarely,5047,medium,3,17,36,0,No,['Plastic'],['Microwave'],3011,['Plastic'],['Microwave']
underweight,male,pescatarian,daily,electricity,public,None,sometimes,193,rarely,419,small,7,4,5,12,Yes,['Metal'],"['Stove', 'Oven']",1045,['Metal'],"['Stove', 'Oven']"
normal,female,vegetarian,less frequently,wood,walk/bicycle,None,often,199,frequently,87,extra large,7,0,34,7,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave']",2268,"['Paper', 'Metal']","['Oven', 'Microwave']"
underweight,female,pescatarian,daily,wood,public,None,often,55,very frequently,862,small,3,1,21,20,No,"['Glass', 'Metal']",['Microwave'],1971,"['Glass', 'Metal']",['Microwave']
obese,male,pescatarian,daily,electricity,public,None,never,177,rarely,1311,large,3,12,18,24,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1384,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']"
underweight,female,vegan,less frequently,electricity,walk/bicycle,None,sometimes,52,very frequently,51,large,6,17,3,11,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1736,"['Glass', 'Metal']","['Oven', 'Microwave']"
normal,male,omnivore,twice a day,wood,private,diesel,never,298,never,1936,medium,1,4,38,8,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2150,['Glass'],"['Oven', 'Grill', 'Airfryer']"
underweight,female,vegan,twice a day,natural gas,private,lpg,never,217,very frequently,7014,extra large,7,22,28,18,Yes,"['Paper', 'Plastic', 'Metal']",[],3950,"['Paper', 'Plastic', 'Metal']",[]
normal,female,omnivore,twice a day,coal,public,None,often,274,frequently,645,extra large,4,8,18,16,No,['Paper'],['Oven'],2429,['Paper'],['Oven']
overweight,female,vegan,less frequently,coal,public,None,often,79,very frequently,1600,small,1,11,28,12,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2482,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
obese,male,pescatarian,more frequently,electricity,public,None,never,257,very frequently,808,medium,5,16,40,6,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3275,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,pescatarian,more frequently,natural gas,public,None,never,244,frequently,488,medium,7,24,10,3,Sometimes,"['Paper', 'Glass', 'Metal']",[],1656,"['Paper', 'Glass', 'Metal']",[]
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,None,sometimes,243,frequently,48,large,6,17,38,2,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2488,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,vegetarian,more frequently,electricity,private,electric,often,288,rarely,7203,small,5,10,8,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1218,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
underweight,female,pescatarian,twice a day,natural gas,private,diesel,often,98,rarely,4048,medium,1,17,19,24,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1775,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
obese,male,vegetarian,more frequently,wood,walk/bicycle,None,never,197,rarely,36,large,2,9,18,4,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1389,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
obese,female,vegetarian,less frequently,coal,private,hybrid,never,76,never,2672,medium,4,12,15,7,No,['Glass'],[],1773,['Glass'],[]
overweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,79,rarely,7907,large,6,10,43,24,Yes,"['Paper', 'Plastic', 'Glass']",[],5629,"['Paper', 'Plastic', 'Glass']",[]
normal,female,pescatarian,less frequently,electricity,public,None,often,129,very frequently,595,large,2,8,39,0,No,['Metal'],['Oven'],2309,['Metal'],['Oven']
normal,female,vegetarian,more frequently,coal,private,diesel,sometimes,164,very frequently,6423,medium,4,10,26,0,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3814,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,pescatarian,twice a day,natural gas,public,None,often,281,very frequently,863,small,1,20,44,17,Sometimes,['Metal'],"['Stove', 'Microwave']",3183,['Metal'],"['Stove', 'Microwave']"
underweight,male,vegetarian,daily,electricity,walk/bicycle,None,never,258,rarely,29,small,2,10,22,16,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",974,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegan,twice a day,natural gas,private,petrol,often,226,rarely,2027,extra large,5,13,17,12,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2117,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']"
obese,female,vegan,daily,wood,private,electric,sometimes,139,rarely,1372,large,2,22,6,17,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1131,"['Plastic', 'Glass']","['Oven', 'Microwave']"
normal,male,pescatarian,twice a day,electricity,public,None,sometimes,233,rarely,1888,small,3,8,9,12,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",1174,['Metal'],"['Stove', 'Grill', 'Airfryer']"
underweight,female,vegetarian,twice a day,wood,walk/bicycle,None,often,146,never,43,small,5,24,32,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1290,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,female,vegetarian,more frequently,wood,private,diesel,never,69,never,829,small,7,11,36,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1406,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
overweight,male,omnivore,daily,coal,walk/bicycle,None,often,272,never,60,medium,5,17,24,10,No,['Glass'],"['Oven', 'Microwave']",2246,['Glass'],"['Oven', 'Microwave']"
overweight,female,omnivore,more frequently,natural gas,public,None,never,270,frequently,504,large,5,20,19,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2106,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
obese,female,vegetarian,twice a day,electricity,public,None,sometimes,201,frequently,944,large,3,24,45,11,Sometimes,['Paper'],"['Stove', 'Microwave']",2109,['Paper'],"['Stove', 'Microwave']"
normal,female,vegan,less frequently,coal,public,None,sometimes,190,rarely,562,small,7,4,48,22,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",1706,"['Paper', 'Metal']","['Grill', 'Airfryer']"
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,None,sometimes,128,rarely,47,extra large,7,4,24,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2255,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,daily,coal,private,electric,sometimes,278,very frequently,2193,small,5,12,37,3,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2750,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,male,omnivore,twice a day,natural gas,public,None,often,166,never,1170,small,7,5,34,7,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1732,"['Paper', 'Glass']","['Oven', 'Microwave']"
obese,female,vegan,daily,electricity,walk/bicycle,None,sometimes,236,rarely,32,large,7,13,38,17,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1943,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
normal,female,pescatarian,twice a day,coal,private,lpg,never,82,never,610,extra large,2,10,14,14,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],1121,"['Plastic', 'Glass', 'Metal']",['Microwave']
normal,female,vegetarian,twice a day,coal,private,hybrid,often,95,frequently,191,medium,1,6,23,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1471,"['Paper', 'Glass', 'Metal']",['Stove']
underweight,male,vegetarian,less frequently,electricity,public,None,never,216,rarely,135,extra large,5,10,47,6,No,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2031,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,female,pescatarian,less frequently,coal,private,diesel,never,129,frequently,7355,small,7,14,15,20,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",3602,['Paper'],"['Stove', 'Oven', 'Microwave']"
underweight,female,pescatarian,twice a day,wood,public,None,often,94,frequently,560,medium,2,21,29,16,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1676,['Plastic'],"['Oven', 'Grill', 'Airfryer']"
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,107,frequently,1929,extra large,4,12,36,2,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2098,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']"
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,None,often,169,rarely,44,large,5,13,35,24,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1948,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,female,vegan,daily,wood,private,diesel,often,205,rarely,9423,large,6,16,30,23,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4220,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
obese,male,vegetarian,less frequently,electricity,walk/bicycle,None,never,123,frequently,60,medium,5,19,27,17,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1955,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
obese,male,vegetarian,daily,wood,public,None,sometimes,279,frequently,537,medium,3,5,3,8,Sometimes,['Glass'],"['Stove', 'Oven']",2128,['Glass'],"['Stove', 'Oven']"
obese,male,vegan,daily,natural gas,public,None,never,272,very frequently,483,large,1,21,40,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2699,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove']
normal,female,omnivore,more frequently,wood,public,None,never,258,very frequently,1802,medium,1,3,37,7,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2546,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
overweight,male,pescatarian,more frequently,natural gas,private,petrol,never,141,never,6329,medium,3,11,26,12,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3618,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
underweight,male,vegan,twice a day,natural gas,public,None,often,91,rarely,1702,extra large,3,4,8,12,No,['Metal'],"['Grill', 'Airfryer']",1576,['Metal'],"['Grill', 'Airfryer']"
overweight,female,vegetarian,twice a day,coal,private,lpg,sometimes,296,rarely,5812,extra large,4,22,25,24,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3715,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
underweight,male,vegan,more frequently,electricity,walk/bicycle,None,often,57,rarely,49,extra large,1,1,47,21,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1457,['Metal'],"['Microwave', 'Grill', 'Airfryer']"
underweight,male,vegan,twice a day,electricity,public,None,never,270,frequently,1050,medium,7,5,18,0,Sometimes,['Plastic'],"['Stove', 'Oven']",1657,['Plastic'],"['Stove', 'Oven']"
obese,male,omnivore,more frequently,natural gas,private,diesel,often,120,rarely,8233,large,3,11,15,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4294,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
obese,male,pescatarian,more frequently,coal,public,None,never,74,never,139,small,1,12,15,20,No,"['Plastic', 'Glass', 'Metal']",[],1138,"['Plastic', 'Glass', 'Metal']",[]
underweight,female,vegan,less frequently,wood,private,petrol,never,219,very frequently,304,large,7,22,2,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2157,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
normal,male,omnivore,twice a day,natural gas,private,petrol,sometimes,255,rarely,3884,large,2,7,36,13,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3314,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
overweight,male,omnivore,twice a day,natural gas,public,None,often,154,never,716,medium,3,19,40,16,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1663,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
normal,male,vegetarian,less frequently,natural gas,private,hybrid,never,141,very frequently,7309,medium,4,4,50,21,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4150,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
normal,male,vegetarian,less frequently,wood,private,electric,often,68,rarely,5970,small,1,22,35,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1061,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
obese,female,omnivore,less frequently,natural gas,private,electric,never,242,frequently,7607,extra large,1,8,19,19,No,['Glass'],"['Stove', 'Oven']",2072,['Glass'],"['Stove', 'Oven']"
obese,male,omnivore,more frequently,coal,walk/bicycle,None,often,272,rarely,19,extra large,7,17,2,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2856,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
underweight,female,vegan,more frequently,wood,walk/bicycle,None,never,285,rarely,21,large,6,4,35,10,Yes,['Glass'],"['Stove', 'Oven']",1699,['Glass'],"['Stove', 'Oven']"
normal,male,vegan,less frequently,wood,private,petrol,never,108,frequently,741,medium,6,13,7,0,No,"['Paper', 'Glass', 'Metal']",[],1671,"['Paper', 'Glass', 'Metal']",[]
obese,female,vegan,less frequently,natural gas,public,None,never,262,never,931,medium,1,3,12,16,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",825,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
overweight,female,pescatarian,daily,wood,private,lpg,never,100,never,9426,small,6,12,9,7,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3330,"['Plastic', 'Metal']","['Stove', 'Oven']"
overweight,female,vegan,twice a day,wood,walk/bicycle,None,never,255,frequently,69,small,1,13,10,6,Yes,"['Plastic', 'Metal']",['Oven'],1276,"['Plastic', 'Metal']",['Oven']
normal,male,omnivore,twice a day,coal,private,hybrid,sometimes,212,frequently,7099,extra large,7,24,31,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4072,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
underweight,female,vegetarian,twice a day,coal,walk/bicycle,None,often,172,frequently,74,small,1,7,2,22,Sometimes,"['Paper', 'Plastic', 'Glass']",['Stove'],1245,"['Paper', 'Plastic', 'Glass']",['Stove']
normal,male,omnivore,more frequently,wood,public,None,never,228,frequently,940,large,5,20,35,24,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2866,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']"
normal,female,vegan,daily,coal,public,None,often,256,very frequently,236,small,3,15,7,9,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2136,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
normal,female,vegan,twice a day,electricity,private,petrol,sometimes,213,frequently,1544,small,3,18,10,19,No,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",1670,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']"
